manuscript_location,run_label,run_id,condition,pair_set_id,n_pairs_per_model,languages,source_artifact,metric_values_json
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=python|condition=monokai_dark__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.492, ""effective_accuracy"": 0.162, ""n_pairs"": 1000, ""n_valid"": 377, ""spearman_valid_only"": -0.165164329664368, ""strict_swap_error"": 0.623, ""valid_accuracy"": 0.4297082228116711}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=python|condition=monokai_dark__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.515, ""effective_accuracy"": 0.229, ""n_pairs"": 1000, ""n_valid"": 453, ""spearman_valid_only"": 0.013537909845185, ""strict_swap_error"": 0.5469999999999999, ""valid_accuracy"": 0.5055187637969095}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda|condition=friendly_light__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.686, ""effective_accuracy"": 0.452, ""n_pairs"": 1000, ""n_valid"": 571, ""spearman_valid_only"": 0.6493942102502602, ""strict_swap_error"": 0.429, ""valid_accuracy"": 0.7915936952714536}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda|condition=friendly_light__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.685, ""effective_accuracy"": 0.442, ""n_pairs"": 1000, ""n_valid"": 571, ""spearman_valid_only"": 0.6263544455409089, ""strict_swap_error"": 0.429, ""valid_accuracy"": 0.7740805604203153}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda|condition=friendly_light__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.674, ""effective_accuracy"": 0.464, ""n_pairs"": 1000, ""n_valid"": 611, ""spearman_valid_only"": 0.5681046943492357, ""strict_swap_error"": 0.389, ""valid_accuracy"": 0.7594108019639935}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda|condition=friendly_light__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.683, ""effective_accuracy"": 0.496, ""n_pairs"": 1000, ""n_valid"": 648, ""spearman_valid_only"": 0.5856948544067407, ""strict_swap_error"": 0.352, ""valid_accuracy"": 0.7654320987654321}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda|condition=mono_light__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.696, ""effective_accuracy"": 0.441, ""n_pairs"": 1000, ""n_valid"": 547, ""spearman_valid_only"": 0.6507167601713405, ""strict_swap_error"": 0.4529999999999999, ""valid_accuracy"": 0.8062157221206582}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda|condition=mono_light__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.684, ""effective_accuracy"": 0.409, ""n_pairs"": 1000, ""n_valid"": 530, ""spearman_valid_only"": 0.6186958315517345, ""strict_swap_error"": 0.47, ""valid_accuracy"": 0.7716981132075472}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda|condition=mono_light__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.68, ""effective_accuracy"": 0.443, ""n_pairs"": 1000, ""n_valid"": 564, ""spearman_valid_only"": 0.621048786772027, ""strict_swap_error"": 0.436, ""valid_accuracy"": 0.7854609929078015}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda|condition=mono_light__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.68, ""effective_accuracy"": 0.497, ""n_pairs"": 1000, ""n_valid"": 649, ""spearman_valid_only"": 0.5820643854767024, ""strict_swap_error"": 0.351, ""valid_accuracy"": 0.765793528505393}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda|condition=monokai_dark__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.674, ""effective_accuracy"": 0.469, ""n_pairs"": 1000, ""n_valid"": 616, ""spearman_valid_only"": 0.5731391922893025, ""strict_swap_error"": 0.384, ""valid_accuracy"": 0.7613636363636364}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda|condition=monokai_dark__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.68, ""effective_accuracy"": 0.482, ""n_pairs"": 1000, ""n_valid"": 627, ""spearman_valid_only"": 0.6009518508100679, ""strict_swap_error"": 0.373, ""valid_accuracy"": 0.7687400318979266}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda|condition=monokai_dark__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.675, ""effective_accuracy"": 0.483, ""n_pairs"": 1000, ""n_valid"": 641, ""spearman_valid_only"": 0.5716299245544185, ""strict_swap_error"": 0.359, ""valid_accuracy"": 0.7535101404056163}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=cuda|condition=monokai_dark__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.679, ""effective_accuracy"": 0.525, ""n_pairs"": 1000, ""n_valid"": 703, ""spearman_valid_only"": 0.557258246640249, ""strict_swap_error"": 0.297, ""valid_accuracy"": 0.7467994310099573}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=java|condition=friendly_light__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.587, ""effective_accuracy"": 0.303, ""n_pairs"": 1000, ""n_valid"": 472, ""spearman_valid_only"": 0.3235057166792991, ""strict_swap_error"": 0.528, ""valid_accuracy"": 0.6419491525423728}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=java|condition=friendly_light__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.589, ""effective_accuracy"": 0.32, ""n_pairs"": 1000, ""n_valid"": 494, ""spearman_valid_only"": 0.3576957534292653, ""strict_swap_error"": 0.506, ""valid_accuracy"": 0.6477732793522267}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=java|condition=friendly_light__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.613, ""effective_accuracy"": 0.299, ""n_pairs"": 1000, ""n_valid"": 476, ""spearman_valid_only"": 0.3072334177296664, ""strict_swap_error"": 0.524, ""valid_accuracy"": 0.6281512605042017}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=java|condition=friendly_light__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.6, ""effective_accuracy"": 0.384, ""n_pairs"": 1000, ""n_valid"": 597, ""spearman_valid_only"": 0.3399942523273617, ""strict_swap_error"": 0.403, ""valid_accuracy"": 0.6432160804020101}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=java|condition=mono_light__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.593, ""effective_accuracy"": 0.288, ""n_pairs"": 1000, ""n_valid"": 461, ""spearman_valid_only"": 0.3032813173476715, ""strict_swap_error"": 0.5389999999999999, ""valid_accuracy"": 0.6247288503253796}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=java|condition=mono_light__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.595, ""effective_accuracy"": 0.327, ""n_pairs"": 1000, ""n_valid"": 500, ""spearman_valid_only"": 0.3761121192952401, ""strict_swap_error"": 0.5, ""valid_accuracy"": 0.654}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=java|condition=mono_light__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.585, ""effective_accuracy"": 0.284, ""n_pairs"": 1000, ""n_valid"": 460, ""spearman_valid_only"": 0.2806541881718253, ""strict_swap_error"": 0.54, ""valid_accuracy"": 0.6173913043478261}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=java|condition=mono_light__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.59, ""effective_accuracy"": 0.377, ""n_pairs"": 1000, ""n_valid"": 589, ""spearman_valid_only"": 0.3343730049759951, ""strict_swap_error"": 0.411, ""valid_accuracy"": 0.6400679117147708}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=java|condition=monokai_dark__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.593, ""effective_accuracy"": 0.332, ""n_pairs"": 1000, ""n_valid"": 523, ""spearman_valid_only"": 0.3187619811725043, ""strict_swap_error"": 0.477, ""valid_accuracy"": 0.6347992351816444}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=java|condition=monokai_dark__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.594, ""effective_accuracy"": 0.331, ""n_pairs"": 1000, ""n_valid"": 514, ""spearman_valid_only"": 0.3406397518489366, ""strict_swap_error"": 0.486, ""valid_accuracy"": 0.6439688715953308}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=java|condition=monokai_dark__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.6, ""effective_accuracy"": 0.323, ""n_pairs"": 1000, ""n_valid"": 528, ""spearman_valid_only"": 0.2812235836320914, ""strict_swap_error"": 0.472, ""valid_accuracy"": 0.6117424242424242}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=java|condition=monokai_dark__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.611, ""effective_accuracy"": 0.411, ""n_pairs"": 1000, ""n_valid"": 635, ""spearman_valid_only"": 0.3537806203480247, ""strict_swap_error"": 0.365, ""valid_accuracy"": 0.647244094488189}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=python|condition=friendly_light__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.653, ""effective_accuracy"": 0.322, ""n_pairs"": 1000, ""n_valid"": 412, ""spearman_valid_only"": 0.5699265413634144, ""strict_swap_error"": 0.5880000000000001, ""valid_accuracy"": 0.7815533980582524}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=python|condition=friendly_light__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.672, ""effective_accuracy"": 0.322, ""n_pairs"": 1000, ""n_valid"": 424, ""spearman_valid_only"": 0.5271540631666376, ""strict_swap_error"": 0.5760000000000001, ""valid_accuracy"": 0.7594339622641509}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=python|condition=friendly_light__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.647, ""effective_accuracy"": 0.323, ""n_pairs"": 1000, ""n_valid"": 422, ""spearman_valid_only"": 0.5585922301060933, ""strict_swap_error"": 0.5780000000000001, ""valid_accuracy"": 0.7654028436018957}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=python|condition=friendly_light__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.66, ""effective_accuracy"": 0.361, ""n_pairs"": 1000, ""n_valid"": 510, ""spearman_valid_only"": 0.4560486585536165, ""strict_swap_error"": 0.49, ""valid_accuracy"": 0.707843137254902}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=python|condition=mono_light__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.652, ""effective_accuracy"": 0.334, ""n_pairs"": 1000, ""n_valid"": 426, ""spearman_valid_only"": 0.5773213295025587, ""strict_swap_error"": 0.5740000000000001, ""valid_accuracy"": 0.784037558685446}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=python|condition=mono_light__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.673, ""effective_accuracy"": 0.34, ""n_pairs"": 1000, ""n_valid"": 429, ""spearman_valid_only"": 0.5799646769369415, ""strict_swap_error"": 0.571, ""valid_accuracy"": 0.7925407925407926}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=python|condition=mono_light__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.638, ""effective_accuracy"": 0.301, ""n_pairs"": 1000, ""n_valid"": 394, ""spearman_valid_only"": 0.5564142475605438, ""strict_swap_error"": 0.606, ""valid_accuracy"": 0.7639593908629442}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=python|condition=mono_light__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.652, ""effective_accuracy"": 0.357, ""n_pairs"": 1000, ""n_valid"": 503, ""spearman_valid_only"": 0.4359268905303184, ""strict_swap_error"": 0.497, ""valid_accuracy"": 0.709741550695825}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=python|condition=monokai_dark__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.657, ""effective_accuracy"": 0.35, ""n_pairs"": 1000, ""n_valid"": 471, ""spearman_valid_only"": 0.5182487213456042, ""strict_swap_error"": 0.529, ""valid_accuracy"": 0.7430997876857749}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=python|condition=monokai_dark__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.667, ""effective_accuracy"": 0.327, ""n_pairs"": 1000, ""n_valid"": 430, ""spearman_valid_only"": 0.5370918848763583, ""strict_swap_error"": 0.5700000000000001, ""valid_accuracy"": 0.7604651162790698}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=python|condition=monokai_dark__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.663, ""effective_accuracy"": 0.332, ""n_pairs"": 1000, ""n_valid"": 433, ""spearman_valid_only"": 0.551506286133277, ""strict_swap_error"": 0.567, ""valid_accuracy"": 0.766743648960739}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|language=python|condition=monokai_dark__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.67, ""effective_accuracy"": 0.411, ""n_pairs"": 1000, ""n_valid"": 556, ""spearman_valid_only"": 0.4968921357320424, ""strict_swap_error"": 0.4439999999999999, ""valid_accuracy"": 0.7392086330935251}"
Table 4,rq3,grounded_protocol_3lang_20260721/rq3/full_20260721,model=OpenGVLab/InternVL3-8B|contrast_type=semantic_and_visual_aligned|variant_i=golden|variant_j=beautiful_trash,rq3_contrast_manifest,300.0,pooled,rq3/analysis/image_only/RQ3_IMAGE_ONLY_BY_CONTRAST.csv,"{""debiased_target_preference"": 0.9933333333333332, ""effective_target_preference"": 0.9166666666666666, ""n_pairs"": 300, ""strict_swap_error"": 0.0833333333333333, ""target_preference_valid"": 1.0, ""valid_pairs"": 275}"
Table 4,rq3,grounded_protocol_3lang_20260721/rq3/full_20260721,model=OpenGVLab/InternVL3-8B|contrast_type=semantic_and_visual_aligned|variant_i=golden|variant_j=ugly_trash,rq3_contrast_manifest,300.0,pooled,rq3/analysis/image_only/RQ3_IMAGE_ONLY_BY_CONTRAST.csv,"{""debiased_target_preference"": 0.9933333333333332, ""effective_target_preference"": 0.99, ""n_pairs"": 300, ""strict_swap_error"": 0.01, ""target_preference_valid"": 1.0, ""valid_pairs"": 297}"
Table 4,rq3,grounded_protocol_3lang_20260721/rq3/full_20260721,model=OpenGVLab/InternVL3-8B|contrast_type=semantic_only_under_ugly|variant_i=ugly_gold|variant_j=ugly_trash,rq3_contrast_manifest,300.0,pooled,rq3/analysis/image_only/RQ3_IMAGE_ONLY_BY_CONTRAST.csv,"{""debiased_target_preference"": 0.9966666666666668, ""effective_target_preference"": 0.9766666666666668, ""n_pairs"": 300, ""strict_swap_error"": 0.02, ""target_preference_valid"": 0.9965986394557824, ""valid_pairs"": 294}"
Table 4,rq3,grounded_protocol_3lang_20260721/rq3/full_20260721,model=OpenGVLab/InternVL3-8B|contrast_type=semantic_visual_conflict_primary|variant_i=ugly_gold|variant_j=beautiful_trash,rq3_contrast_manifest,300.0,pooled,rq3/analysis/image_only/RQ3_IMAGE_ONLY_BY_CONTRAST.csv,"{""debiased_target_preference"": 0.9832214765100672, ""effective_target_preference"": 0.82, ""n_pairs"": 300, ""strict_swap_error"": 0.1733333333333333, ""target_preference_valid"": 0.9919354838709676, ""valid_pairs"": 248}"
Table 4,rq3,grounded_protocol_3lang_20260721/rq3/full_20260721,model=OpenGVLab/InternVL3-8B|contrast_type=visual_only_gold|variant_i=golden|variant_j=ugly_gold,rq3_contrast_manifest,300.0,pooled,rq3/analysis/image_only/RQ3_IMAGE_ONLY_BY_CONTRAST.csv,"{""debiased_target_preference"": 0.8741496598639455, ""effective_target_preference"": 0.5733333333333334, ""n_pairs"": 300, ""strict_swap_error"": 0.3966666666666666, ""target_preference_valid"": 0.9502762430939228, ""valid_pairs"": 181}"
Table 4,rq3,grounded_protocol_3lang_20260721/rq3/full_20260721,model=OpenGVLab/InternVL3-8B|contrast_type=visual_only_trash|variant_i=beautiful_trash|variant_j=ugly_trash,rq3_contrast_manifest,300.0,pooled,rq3/analysis/image_only/RQ3_IMAGE_ONLY_BY_CONTRAST.csv,"{""debiased_target_preference"": 0.9256756756756755, ""effective_target_preference"": 0.6033333333333334, ""n_pairs"": 300, ""strict_swap_error"": 0.3666666666666666, ""target_preference_valid"": 0.9526315789473684, ""valid_pairs"": 190}"
Table 4,rq3,grounded_protocol_3lang_20260721/rq3/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|contrast_type=semantic_and_visual_aligned|variant_i=golden|variant_j=beautiful_trash,rq3_contrast_manifest,300.0,pooled,rq3/analysis/image_only/RQ3_IMAGE_ONLY_BY_CONTRAST.csv,"{""debiased_target_preference"": 1.0, ""effective_target_preference"": 0.9833333333333332, ""n_pairs"": 300, ""strict_swap_error"": 0.0166666666666666, ""target_preference_valid"": 1.0, ""valid_pairs"": 295}"
Table 4,rq3,grounded_protocol_3lang_20260721/rq3/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|contrast_type=semantic_and_visual_aligned|variant_i=golden|variant_j=ugly_trash,rq3_contrast_manifest,300.0,pooled,rq3/analysis/image_only/RQ3_IMAGE_ONLY_BY_CONTRAST.csv,"{""debiased_target_preference"": 1.0, ""effective_target_preference"": 0.9766666666666668, ""n_pairs"": 300, ""strict_swap_error"": 0.0233333333333333, ""target_preference_valid"": 1.0, ""valid_pairs"": 293}"
Table 4,rq3,grounded_protocol_3lang_20260721/rq3/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|contrast_type=semantic_only_under_ugly|variant_i=ugly_gold|variant_j=ugly_trash,rq3_contrast_manifest,300.0,pooled,rq3/analysis/image_only/RQ3_IMAGE_ONLY_BY_CONTRAST.csv,"{""debiased_target_preference"": 1.0, ""effective_target_preference"": 0.94, ""n_pairs"": 300, ""strict_swap_error"": 0.06, ""target_preference_valid"": 1.0, ""valid_pairs"": 282}"
Table 4,rq3,grounded_protocol_3lang_20260721/rq3/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|contrast_type=semantic_visual_conflict_primary|variant_i=ugly_gold|variant_j=beautiful_trash,rq3_contrast_manifest,300.0,pooled,rq3/analysis/image_only/RQ3_IMAGE_ONLY_BY_CONTRAST.csv,"{""debiased_target_preference"": 1.0, ""effective_target_preference"": 0.9166666666666666, ""n_pairs"": 300, ""strict_swap_error"": 0.0833333333333333, ""target_preference_valid"": 1.0, ""valid_pairs"": 275}"
Table 4,rq3,grounded_protocol_3lang_20260721/rq3/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|contrast_type=visual_only_gold|variant_i=golden|variant_j=ugly_gold,rq3_contrast_manifest,300.0,pooled,rq3/analysis/image_only/RQ3_IMAGE_ONLY_BY_CONTRAST.csv,"{""debiased_target_preference"": 0.9533333333333334, ""effective_target_preference"": 0.56, ""n_pairs"": 300, ""strict_swap_error"": 0.4333333333333333, ""target_preference_valid"": 0.9882352941176472, ""valid_pairs"": 170}"
Table 4,rq3,grounded_protocol_3lang_20260721/rq3/full_20260721,model=Qwen/Qwen2.5-VL-7B-Instruct|contrast_type=visual_only_trash|variant_i=beautiful_trash|variant_j=ugly_trash,rq3_contrast_manifest,300.0,pooled,rq3/analysis/image_only/RQ3_IMAGE_ONLY_BY_CONTRAST.csv,"{""debiased_target_preference"": 0.9562289562289562, ""effective_target_preference"": 0.0833333333333333, ""n_pairs"": 300, ""strict_swap_error"": 0.9166666666666666, ""target_preference_valid"": 1.0, ""valid_pairs"": 25}"
Table 5,deploy,deployment_language_specific_runs,language=java|system=Source-access RF|model=random_forest_regressor,language-specific deployment pair sets,,java,analysis/E6/E6_deployment_full_metrics.csv,"{""effective_accuracy"": 0.6233333333333333, ""n_correct_pairs"": 1870, ""n_total_pairs"": 3000, ""n_valid_pairs"": 3000, ""parse_failure_rate"": 0.0, ""strict_swap_error"": 0.0, ""valid_accuracy"": 0.6233333333333333}"
Table 5,deploy,deployment_language_specific_runs,language=java|system=RapidOCR + best ML|model=svr,language-specific deployment pair sets,,java,analysis/E6/E6_deployment_full_metrics.csv,"{""effective_accuracy"": 0.5296666666666666, ""n_correct_pairs"": 1589, ""n_total_pairs"": 3000, ""n_valid_pairs"": 3000, ""parse_failure_rate"": 0.0, ""strict_swap_error"": 0.0, ""valid_accuracy"": 0.5296666666666666}"
Table 5,deploy,deployment_language_specific_runs,language=java|system=Direct Qwen image-only|model=Qwen/Qwen2.5-VL-7B-Instruct / image_only / clean,language-specific deployment pair sets,,java,analysis/E6/E6_deployment_full_metrics.csv,"{""effective_accuracy"": 0.3866666666666666, ""n_correct_pairs"": 1160, ""n_total_pairs"": 3000, ""n_valid_pairs"": 1867, ""parse_failure_rate"": 0.0, ""strict_swap_error"": 0.3776666666666667, ""valid_accuracy"": 0.6213176218532405}"
Table 5,deploy,deployment_language_specific_runs,language=java|system=Source-text Qwen2.5-Coder|model=Qwen2.5-Coder-7B-Instruct,language-specific deployment pair sets,,java,analysis/E6/E6_deployment_full_metrics.csv,"{""effective_accuracy"": 0.333, ""n_correct_pairs"": 999, ""n_total_pairs"": 3000, ""n_valid_pairs"": 1796, ""parse_failure_rate"": 0.0, ""strict_swap_error"": 0.4013333333333333, ""valid_accuracy"": 0.5562360801781737}"
Table 5,deploy,deployment_language_specific_runs,language=java|system=Best OCR-text LLM (RapidOCR)|model=Qwen2.5-Coder-7B-Instruct,language-specific deployment pair sets,,java,analysis/E6/E6_deployment_full_metrics.csv,"{""effective_accuracy"": 0.2846666666666667, ""n_correct_pairs"": 854, ""n_total_pairs"": 3000, ""n_valid_pairs"": 1530, ""parse_failure_rate"": 0.0, ""strict_swap_error"": 0.49, ""valid_accuracy"": 0.5581699346405229}"
